artist,song_title,mfccs_mean
Natikaji-Taradevi,Him Shrinkhalama,"[-339.51580810546875, 73.07123565673828, -85.02230834960938, 14.987885475158691, -13.8776216506958, -7.186504364013672, -19.510475158691406, -14.099103927612305, -11.53371810913086, -41.20660400390625, -13.770593643188477, -19.526954650878906, -20.086471557617188]"
Natikaji-Taradevi,Nepali Hami,"[-288.32049560546875, 159.11187744140625, -39.3669319152832, 2.2772841453552246, 42.75706100463867, -2.7294137477874756, -12.067014694213867, -1.1737781763076782, -12.120759010314941, -19.727779388427734, -14.841998100280762, -11.513371467590332, -15.902206420898438]"
Natikaji-Taradevi,Sunsan Prakirti Ko,"[-358.3282165527344, 101.20479583740234, -49.74483108520508, 9.660752296447754, 7.698421001434326, -22.64234733581543, -7.464267253875732, -11.61011791229248, -17.48341178894043, -25.352750778198242, -29.259450912475586, -17.761629104614258, -20.5203857421875]"
Natikaji-Taradevi,Timile Diyeka,"[-475.7629699707031, 73.59789276123047, -5.904513835906982, -3.08876371383667, -17.76973533630371, -11.377823829650879, -16.848953247070312, -24.479755401611328, -7.118905067443848, -20.444799423217773, -24.62408447265625, -11.738410949707031, -21.331520080566406]"
Natikaji-Taradevi,Timile Jatinai Maya,"[-375.7837219238281, 97.0383529663086, -75.7310791015625, -9.814751625061035, 7.384137153625488, -12.980128288269043, -12.268976211547852, -19.987796783447266, -6.271222114562988, -11.888322830200195, -24.520578384399414, -9.299835205078125, -10.85346508026123]"
Natikaji-Taradevi,Yo Chhoto Jeevan Ma,"[-425.8794860839844, 85.26155090332031, -81.60188293457031, -23.242877960205078, 7.413610458374023, -8.16983699798584, -4.783911228179932, -16.24309730529785, -15.472612380981445, -14.818425178527832, -25.294645309448242, -18.671602249145508, -11.070453643798828]"
Neetesh Jung Kumar,Hamro Nepalma,"[-271.2411193847656, 92.17513275146484, -26.866413116455078, 48.59330749511719, -29.339427947998047, 19.211624145507812, -6.99747896194458, -20.993743896484375, 13.805526733398438, -29.36073112487793, -14.748918533325195, -10.724295616149902, -9.386256217956543]"
Neetesh Jung Kumar,Hitaiko Maya,"[-301.06866455078125, 101.24420166015625, -56.19666290283203, 27.356889724731445, -3.70802640914917, 31.555309295654297, -12.945655822753906, -20.83964729309082, 8.371395111083984, -26.60805892944336, -8.159546852111816, -14.176558494567871, -11.350260734558105]"
Neetesh Jung Kumar,Kholai Khola,"[-274.7884521484375, 115.16158294677734, -43.821754455566406, 27.991018295288086, -24.613313674926758, 19.287813186645508, -9.048124313354492, -16.261188507080078, 16.50726318359375, -19.14426040649414, -10.428974151611328, -18.485219955444336, -6.671446800231934]"
Neetesh Jung Kumar,Saajha Ma Aunu (Maya ko Chino),"[-296.3569030761719, 92.43313598632812, -23.84200668334961, 57.36466598510742, -14.826090812683105, 23.92669105529785, 3.594146251678467, -17.988924026489258, 11.836567878723145, -25.704442977905273, -14.158990859985352, -5.025664329528809, -6.636058330535889]"
